horizon,Poseidon-FT,persistence,mean
1,0.199735,0.977452,1.112773
2,0.283627,1.0923,1.201936
3,0.370542,1.234177,1.306643
4,0.45937,1.403624,1.42474
5,0.553148,1.594276,1.552888
6,0.654383,1.798142,1.685289
7,0.763309,2.004254,1.813868
8,0.875276,2.199659,1.929783
9,0.985041,2.364851,2.016785
10,1.093283,2.473285,2.048793
11,1.206277,2.518245,2.016567
12,1.327679,2.527689,1.942507
13,1.458468,2.53971,1.856384
14,1.600868,2.584408,1.777008
15,1.760358,2.686789,1.711946
16,1.950654,2.881602,1.662729
17,2.200944,3.238206,1.629628
18,2.561418,3.902039,1.615397
19,3.101432,5.153696,1.626961
20,3.862118,7.391695,1.674128
21,4.695045,10.67199,1.759511
22,5.268854,14.09597,1.854977
23,5.420294,16.73552,1.920996
24,5.34222,18.45754,1.951701
25,5.262453,19.38147,1.960233
26,5.317191,19.89142,1.960473
27,5.586483,20.41824,1.962554
28,6.089493,21.15594,1.970647
29,6.776955,22.00687,1.982174
30,7.583626,22.84087,1.993845
