horizon,FNO_median,FNO_p10,FNO_p90,TFNO_median,TFNO_p10,TFNO_p90,U-Net_median,U-Net_p10,U-Net_p90,CNextU-Net_median,CNextU-Net_p10,CNextU-Net_p90,persistence_median,persistence_p10,persistence_p90,mean_median,mean_p10,mean_p90
1,64.107018,51.864128,116.431358,78.482010,76.221451,82.304886,3.715716,3.466552,4.102096,1.437343,1.034893,2.514263,0.013991,0.004500,0.022365,0.521252,0.506557,0.566236
2,112.133247,62.167770,240.370331,125.088524,95.883476,161.305313,7.328228,6.858184,8.522705,2.607400,1.715421,4.778886,0.026343,0.008522,0.040862,0.524280,0.507605,0.576145
3,68.156342,49.924950,190.707916,82.702553,71.363083,94.650681,10.956940,10.180435,13.199383,3.666422,2.419855,6.795380,0.036574,0.013079,0.057246,0.527959,0.508691,0.587437
4,67.705704,49.127403,116.832016,90.874138,77.721306,112.441986,14.799352,13.488503,18.407677,4.597020,3.091655,8.591517,0.047007,0.018255,0.072321,0.531680,0.509815,0.600972
5,50.006725,48.128460,71.014389,79.482002,69.868599,85.151703,18.989981,16.911224,24.130129,5.409508,3.747538,10.196951,0.056666,0.022593,0.091006,0.535581,0.511011,0.617861
6,52.849579,50.955002,68.063423,72.063728,67.718582,76.886269,23.686350,20.696877,31.376610,6.141948,4.339427,11.649047,0.067278,0.027241,0.113085,0.540932,0.512384,0.637848
7,49.940842,46.211479,50.976223,67.628036,64.810417,72.081146,29.117481,24.795740,38.787735,6.823659,4.835448,12.984444,0.078926,0.031716,0.142927,0.547236,0.513931,0.658979
8,50.652435,45.372486,51.392944,66.136742,64.369446,68.917480,35.437641,29.057497,46.921391,7.524245,5.339309,14.241181,0.088529,0.036412,0.176385,0.553653,0.515759,0.697334
9,49.730202,41.325901,50.438911,64.213654,59.855709,66.137405,42.670612,33.697678,56.254044,8.064157,5.717261,15.489002,0.100344,0.043691,0.230913,0.564927,0.517875,0.743890
10,49.587723,37.027744,50.357800,63.570637,53.220577,64.798904,50.734238,38.694336,66.719116,8.679449,5.857033,16.736374,0.111412,0.051927,0.323294,0.579512,0.520056,0.814618
11,49.081398,27.221361,50.355309,63.390045,41.034779,64.109047,59.218880,41.897697,78.181946,9.250944,5.594603,18.071510,0.121625,0.058505,0.425386,0.593728,0.522490,0.906409
12,48.451797,16.798737,50.327274,63.119457,26.224352,63.808418,67.660767,33.867661,90.442970,9.878582,4.056875,19.447781,0.138683,0.067004,0.491587,0.616223,0.525411,0.966070
13,47.678638,9.541686,50.322247,62.717739,15.120031,63.691345,76.301979,22.011005,102.301636,10.579056,2.483405,21.018383,0.164680,0.076764,0.534685,0.635311,0.528737,0.989668
14,46.400875,5.565457,50.297493,61.898495,8.880794,63.556263,85.221085,13.709536,114.349724,11.066164,1.574922,22.885403,0.190425,0.089300,0.557159,0.662904,0.532570,0.996813
15,44.263474,3.640467,50.266991,61.199085,5.825974,63.424023,93.112671,8.834281,126.046539,11.593235,1.243012,24.549507,0.218720,0.097316,0.560890,0.698927,0.537079,0.998835
16,42.003914,2.963238,50.219631,60.051491,4.562278,63.338974,98.971603,6.372488,136.440613,12.217712,1.071687,26.147030,0.251953,0.110385,0.572604,0.730876,0.542914,0.999575
17,38.934464,2.570210,50.156925,58.498859,3.742537,63.239586,105.355347,5.961195,146.295532,12.894765,0.996262,27.643763,0.285795,0.120593,0.580832,0.768274,0.549799,0.999809
18,35.777706,2.088987,50.064846,55.898113,3.288853,63.095345,112.368439,5.460621,155.569458,13.211237,0.965678,29.077646,0.321212,0.129837,0.589257,0.795563,0.558574,0.999964
19,32.689438,1.909888,49.914482,52.382401,2.802665,62.943165,110.464951,5.049487,161.898422,14.058693,0.953592,30.614359,0.353479,0.143558,0.593307,0.834684,0.568858,1.000317
20,29.107109,1.805117,49.692688,48.505489,2.476733,62.772202,105.802574,4.717585,166.583267,14.678019,0.943688,32.144382,0.383275,0.161509,0.601787,0.882848,0.580523,1.000495
21,23.724743,1.695947,49.421097,44.433979,2.281323,62.587242,101.822685,4.523616,169.292206,15.298904,0.928476,32.116711,0.416557,0.176455,0.608936,0.910116,0.595585,1.000665
22,19.537510,1.630909,49.040092,39.367771,2.170420,62.343174,90.269928,4.503289,171.691925,15.874235,0.901437,33.258625,0.442024,0.194764,0.614541,0.931960,0.613645,1.000698
23,15.904922,1.490797,48.454960,35.006504,2.040040,61.963428,82.001381,4.140913,179.945389,16.027945,0.873196,36.350922,0.464780,0.215142,0.624558,0.949994,0.634930,1.001026
24,13.022591,1.422843,47.623249,29.576471,1.879433,61.440159,72.339630,3.870063,188.208405,16.008999,0.861335,38.204796,0.486875,0.237786,0.629789,0.964225,0.656563,1.001128
25,10.551299,1.358410,46.462738,24.643440,1.738852,60.582222,63.861931,3.679089,195.422348,16.655714,0.838098,40.141880,0.496003,0.262612,0.633418,0.975418,0.682375,1.001244
26,8.921302,1.315015,44.957577,19.646416,1.639588,59.163841,55.129971,3.578597,199.292892,15.167346,0.823522,41.268608,0.503690,0.294814,0.637609,0.984739,0.711651,1.001526
27,7.173909,1.283080,42.966339,16.286707,1.597128,57.554279,45.377708,3.529999,196.533127,14.116464,0.828018,43.543240,0.507088,0.328693,0.642306,0.990684,0.742904,1.001586
28,5.752083,1.261413,40.154213,13.087147,1.555818,55.119484,36.827133,3.486375,193.559570,12.921897,0.834069,43.907516,0.510606,0.361536,0.644490,0.994327,0.782550,1.001620
29,4.781972,1.251077,36.580475,10.838405,1.511744,52.147160,31.184391,3.449377,188.845673,11.809444,0.846122,45.985756,0.514096,0.392109,0.650904,0.997529,0.817953,1.001721
30,3.950417,1.230596,33.417263,8.464268,1.478125,48.181362,26.233528,3.415981,182.814316,10.703404,0.854907,46.215839,0.521408,0.425891,0.657952,0.998389,0.855891,1.001877
