dataset,model,n_params_M,H,stability_horizon,one_step_vrmse,rollout_6:12,rollout_13:30
gray_scott_reaction_diffusion,FNO,19.009,30,0,38.03166198730469,266127.34375,inf
gray_scott_reaction_diffusion,TFNO,19.274,30,0,1212.57666015625,1.4425892130390016e+16,nan
gray_scott_reaction_diffusion,U-Net,17.464,30,11,0.040695130825042725,0.6261009573936462,15.471976280212402
gray_scott_reaction_diffusion,CNextU-Net,18.572,30,18,0.03208053484559059,0.31216904520988464,2.140470027923584
gray_scott_reaction_diffusion,persistence,,30,3,,2.5872104167938232,25.414506912231445
gray_scott_reaction_diffusion,mean,,30,0,,1.6901804208755493,19.5866756439209
turbulent_radiative_layer_2D,FNO,19.012,30,0,1.4965078830718994,18983716864.0,inf
turbulent_radiative_layer_2D,TFNO,19.277,30,0,1.987743854522705,3.957949638366699,4.180829048156738
turbulent_radiative_layer_2D,U-Net,17.467,30,14,0.26892656087875366,0.7367551922798157,1.2813560962677002
turbulent_radiative_layer_2D,CNextU-Net,18.575,30,23,0.22629183530807495,0.5733532905578613,1.0230238437652588
turbulent_radiative_layer_2D,persistence,,30,4,,1.2025688886642456,1.5833152532577515
turbulent_radiative_layer_2D,mean,,30,0,,1.3854120969772339,1.6847325563430786
rayleigh_benard,FNO,19.012,30,0,11.27530288696289,45.55710983276367,24.03385353088379
rayleigh_benard,TFNO,19.277,30,0,11.335958480834961,60.73539733886719,35.00863265991211
rayleigh_benard,U-Net,17.467,30,0,0.5081287622451782,47.20942687988281,82.97189331054688
rayleigh_benard,CNextU-Net,18.575,30,0,0.24466587603092194,9.636756896972656,16.794601440429688
rayleigh_benard,persistence,,30,30,,0.1475965529680252,0.40808790922164917
rayleigh_benard,mean,,30,30,,0.6198678612709045,0.8483518362045288
